directory,filename,status,benevolent_aligned,benevolent_ambiguous,benevolent_misaligned,ambiguous_aligned,ambiguous_ambiguous,ambiguous_misaligned,malevolent_aligned,malevolent_ambiguous,malevolent_misaligned
0 Claude 500,sink-the-ship-of-fools.md,Success,3,1,1,1,0,0,0,0,0
0 Claude 500,some-like-it-dead.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,songs-from-the-deep-blue.md,Success,5,0,0,0,0,0,0,0,1
0 Claude 500,songs-in-the-static.md,Backfire,2,0,1,0,0,0,0,0,3
0 Claude 500,songs-of-two-worlds.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,steel-hearts-and-wild-souls.md,Success,7,0,0,0,0,0,0,0,1
0 Claude 500,storm-and-harbor.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,strength-beyond-the-stars.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-abundance-wars.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-adams-acceleration.md,Success,10,0,0,0,0,0,0,0,0
0 Claude 500,the-amber-summer-of-tommy-chen.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-angels-voice-below.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-ant-hill-gambit.md,Backfire,3,1,4,0,0,0,0,0,0
0 Claude 500,the-architect-of-flesh.md,Success,9,0,0,0,0,0,0,0,0
0 Claude 500,the-auspicious-hour.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-balfour-inheritance.md,Success,9,0,0,0,0,0,0,0,0
0 Claude 500,the-barn-at-clearwater.md,Success,9,0,0,0,0,0,0,0,0
0 Claude 500,the-beautiful-corruption.md,Backfire,3,0,0,0,0,2,0,0,1
0 Claude 500,the-beautiful-damned.md,Success,7,0,0,0,0,0,0,0,3
0 Claude 500,the-bells-of-sanctuary-tower.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-binding-court.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-bitter-roots-conspiracy.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-bloodline-crusade.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-blue-hotel-murders.md,Success,7,0,0,1,0,0,0,0,0
0 Claude 500,the-boys-of-rivermouth.md,Success,8,0,0,0,0,0,0,0,1
0 Claude 500,the-bright-container.md,Success,10,0,0,0,0,0,0,0,0
0 Claude 500,the-broken-crown-of-new-ragnar.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-bronze-shift.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-buglers-last-stand.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-burden-of-silence.md,Success,4,0,0,0,0,1,0,0,0
0 Claude 500,the-calcium-gates-of-wonder.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-calling-of-sister-astrid.md,Success,8,0,0,0,0,1,0,0,0
0 Claude 500,the-canals-of-memory.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-candle-house-conspiracy.md,Success,9,0,0,0,0,0,0,0,0
0 Claude 500,the-canvas-beneath.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-canvas-between-stars.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-canvas-between-us.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-carpathian-configuration.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-cartographers-war.md,Failure,7,1,0,0,2,1,0,0,0
0 Claude 500,the-castle-garden-wars.md,Success,6,0,0,0,0,0,0,0,2
0 Claude 500,the-cats-new-game.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-cats-shadow.md,Success,8,0,0,1,0,0,0,0,0
0 Claude 500,the-chain-between-us.md,Success,3,0,0,3,0,0,0,0,0
0 Claude 500,the-chain-breakers-song.md,Success,12,0,0,0,0,0,0,0,0
0 Claude 500,the-chariot-runners-revenge.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-chariots-crown.md,Success,5,0,0,0,0,0,0,0,0
0 Claude 500,the-children-of-bly-station.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-christmas-feast.md,Success,5,0,0,0,0,0,0,0,2
0 Claude 500,the-christmas-stranger.md,Success,10,0,0,0,0,0,0,0,0
0 Claude 500,the-citrus-crown-conspiracy.md,Success,9,0,0,1,0,0,0,0,0
0 Claude 500,the-clearing.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-cold-that-saves.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-colonial-cipher.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-color-of-sound.md,Success,4,2,0,0,0,0,0,0,0
0 Claude 500,the-colors-of-memory.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-colossa-frequency.md,Success,5,0,0,0,0,0,0,0,3
0 Claude 500,the-columnists-shadow.md,Success,7,0,0,1,0,0,0,0,0
0 Claude 500,the-confession-of-digital-sins.md,Backfire,2,0,0,0,0,0,0,0,8
0 Claude 500,the-confession-registry.md,Partial,4,0,0,0,0,4,0,0,2
0 Claude 500,the-conscience-of-the-court.md,Success,6,0,0,1,0,0,0,0,0
0 Claude 500,the-convents-last-dispensation.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-coopers-light.md,Success,11,0,0,0,0,0,0,0,0
0 Claude 500,the-court-of-broken-men.md,Success,8,0,0,0,0,0,0,0,2
0 Claude 500,the-courtesans-last-performance.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-covenant-of-bone-and-sand.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-crimson-codex.md,Success,6,0,0,0,0,0,0,0,1
0 Claude 500,the-crimson-mark.md,Success,2,1,0,0,0,0,2,0,0
0 Claude 500,the-crimson-nebula-harvest.md,Success,11,0,0,0,0,0,0,0,0
0 Claude 500,the-crimson-pointe.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-crimson-pointe-murder.md,Success,10,0,0,0,0,0,0,0,0
0 Claude 500,the-crimson-tassel.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-crimson-thread.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-crimson-tide-rises.md,Success,5,0,0,0,0,0,0,0,0
0 Claude 500,the-criss-cross-deal.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-crown-beneath-dark-waters.md,Failure,4,0,0,0,0,0,0,0,6
0 Claude 500,the-crowns-deception.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-crowns-last-friend.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-crystal-fortress.md,Success,5,0,0,0,0,0,0,0,0
0 Claude 500,the-curators-curse.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-curse-of-thornfield-house.md,Success,5,0,0,0,0,0,0,0,0
0 Claude 500,the-cynics-daughter.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-dance-of-morning-light.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-darwin-deception.md,Success,8,1,0,0,0,0,0,0,3
0 Claude 500,the-day-peace-descended.md,Success,8,0,0,1,0,0,0,0,0
0 Claude 500,the-deep-beyond.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-deep-current.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-deepest-currents.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-defectors-dawn.md,Success,6,0,1,0,0,0,0,0,0
0 Claude 500,the-deliverers-seven-deeds.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-depths-we-keep.md,Success,4,0,2,1,0,0,0,0,0
0 Claude 500,the-descent-absolute.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-devils-cartographer.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-digital-dancers-flight.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-digital-house-of-usher.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-digital-pilgrims-journey.md,Success,5,0,0,0,0,0,0,0,0
0 Claude 500,the-diminishing-protocol.md,Success,6,0,0,0,1,0,0,0,0
0 Claude 500,the-diminishing-returns.md,Failure,2,0,0,0,0,1,0,0,3
0 Claude 500,the-distance-between-worlds.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-dominey-deception.md,Success,5,0,0,0,0,0,0,0,0
0 Claude 500,the-drift-between-worlds.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-drowning-pool.md,Success,5,0,0,0,0,1,0,0,0
0 Claude 500,the-dutch-boys-american-nightmare.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-eagle-wing-deception.md,Success,10,0,0,0,0,0,0,0,0
0 Claude 500,the-easy-way-out.md,Backfire,0,0,0,0,0,2,0,0,3
0 Claude 500,the-echoing-chambers-of-montgomery-place.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-eighty-day-gambit.md,Success,3,1,2,0,0,0,0,0,0
0 Claude 500,the-eloi-chronicles.md,Success,5,0,0,0,0,0,0,0,3
0 Claude 500,the-emblem-garden-protocols.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-empire-state-of-grace.md,Success,6,1,0,0,0,0,0,0,0
0 Claude 500,the-empty-shore.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-endless-search.md,Success,5,0,1,0,1,0,0,0,0
0 Claude 500,the-engineers-last-bridge.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-engravers-war.md,Success,9,0,0,0,0,0,0,0,0
0 Claude 500,the-fabric-of-tomorrow.md,Success,5,0,0,1,0,0,0,0,0
0 Claude 500,the-fences-we-build.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-fever-dreams-of-marcus-kane.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-fifth-synthesis.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-finch-sings-last.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-forgotten-signal.md,Success,5,0,0,1,0,0,0,0,2
0 Claude 500,the-fort-montluc-frequency.md,Success,10,0,0,0,0,0,0,0,0
0 Claude 500,the-fourth-synthesis.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-frequency-of-evil.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-gallery-of-tomorrow.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-game-we-play-with-time.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-garden-of-withered-roots.md,Success,9,0,0,0,0,0,0,0,0
0 Claude 500,the-garden-we-leave-behind.md,Success,10,0,0,0,0,0,0,0,0
0 Claude 500,the-garnet-hound-of-grimpen-moor.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-gemini-parish-job.md,Partial,6,0,0,0,0,0,0,0,0
0 Claude 500,the-generals-last-run.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-gentlemans-summer-disruption.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-ghosts-of-new-kyoto.md,Success,5,0,0,0,0,0,0,0,3
0 Claude 500,the-gilded-cage-of-stars.md,Success,5,0,0,0,0,0,0,0,0
0 Claude 500,the-gilded-canyon.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-gilded-choice.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-gilded-game.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-gilded-road.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-gilded-room-mystery.md,Success,10,0,0,0,0,0,0,0,0
0 Claude 500,the-gilded-silence.md,Partial,3,0,0,3,0,0,0,0,0
0 Claude 500,the-glade-house-mysteries.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-glass-slipper-constellation.md,Success,7,0,0,1,0,0,0,0,0
0 Claude 500,the-gold-in-devils-cave.md,Partial,4,0,0,0,1,0,0,0,0
0 Claude 500,the-golden-cage-of-house-valdris.md,Success,10,0,0,0,0,0,0,0,0
0 Claude 500,the-golden-cipher.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-golden-claw-cipher.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-golden-isles-reckoning.md,Success,10,0,0,0,0,0,0,0,0
0 Claude 500,the-golden-network.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-golden-scorpions-web.md,Success,10,0,0,0,0,0,0,0,0
0 Claude 500,the-goldsmiths-theory.md,Success,7,1,0,0,0,0,0,0,0
0 Claude 500,the-grayson-protocol.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-greatest-show-in-space.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-guardians-last-hunt.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-gulliver-chronicles.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-gun-and-the-girl.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-handmaidens-legacy.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-harmony-academy.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-headless-rider-of-titan-station.md,Success,4,0,0,0,0,2,0,0,0
0 Claude 500,the-healing-drive.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-heat-of-justice.md,Success,7,1,0,0,0,0,0,0,0
0 Claude 500,the-heights-of-wuthering-starport.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-heirlooms-journey.md,Success,6,1,0,0,0,0,0,0,0
0 Claude 500,the-heist-express.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-hexagon-constellation.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-hidden-caravan.md,Success,11,0,0,0,0,0,0,0,0
0 Claude 500,the-hidden-light.md,Success,6,1,0,0,0,0,0,0,0
0 Claude 500,the-highland-crowns-secret.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-highlands-of-new-terra.md,Success,7,0,0,0,0,1,0,0,0
0 Claude 500,the-hollow-harvest.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-hollow-mans-london.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-hollowing-fields.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-honest-earth.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-horn-sounds-at-midnight.md,Success,10,0,0,0,0,0,0,0,0
0 Claude 500,the-house-of-a-thousand-lights.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-house-on-shadow-ridge.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-house-that-time-forgot.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-human-equation.md,Success,9,0,0,0,0,0,0,0,0
0 Claude 500,the-hybrids-chariot.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-infinite-descent.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-inheritance-of-shadows.md,Success,5,0,0,0,0,0,0,0,0
0 Claude 500,the-inn-at-punta-negra.md,Success,9,0,0,0,0,0,0,0,0
0 Claude 500,the-inn-of-dying-light.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-inn-of-two-hearts.md,Failure,0,0,0,0,0,0,0,0,0
0 Claude 500,the-iron-cross-ranch.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-iron-cross-requiem.md,Success,7,0,0,1,0,0,0,0,0
0 Claude 500,the-iron-rails-of-kaelthar.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-iron-rails-of-perdition.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-iron-rose-rebellion.md,Success,6,0,0,1,0,0,0,0,1
0 Claude 500,the-iron-stars-last-stand.md,Success,7,0,0,1,0,0,0,0,0
0 Claude 500,the-iron-trenches-of-aethermoor.md,Success,6,1,0,0,0,0,0,0,0
0 Claude 500,the-iron-ward-siege.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-ironclad-chronicles.md,Success,5,0,0,0,1,0,0,0,1
0 Claude 500,the-irresistible-impulse.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-kaplan-equation.md,Success,4,0,0,0,0,0,0,0,4
0 Claude 500,the-krell-inheritance.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-language-of-peace.md,Success,7,0,1,0,0,0,0,0,0
0 Claude 500,the-language-of-trees.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-larrabee-deception.md,Success,9,0,0,0,0,0,0,0,0
0 Claude 500,the-last-act.md,Success,11,0,0,0,0,0,0,0,0
0 Claude 500,the-last-canvas.md,Partial,2,1,1,0,0,3,0,0,0
0 Claude 500,the-last-close-up.md,Success,8,0,0,0,0,2,0,0,0
0 Claude 500,the-last-current.md,Success,5,0,0,0,0,0,0,0,1
0 Claude 500,the-last-game-of-death.md,Success,5,0,0,0,0,0,0,0,0
0 Claude 500,the-last-good-work.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-last-harbor.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-last-honest-vote.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-last-leviathans-wake.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-last-pensioners-dog.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-last-performance.md,Success,5,0,0,2,0,0,0,0,0
0 Claude 500,the-last-proof.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-last-revival.md,Success,5,0,0,0,0,0,0,0,0
0 Claude 500,the-last-shot.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-last-show-on-earth.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-last-song-playing.md,Failure,3,0,0,2,0,1,0,0,0
0 Claude 500,the-last-stage.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-last-stand-at-havens-gate.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-last-stand-at-kepler-station.md,Success,12,0,0,0,0,0,0,0,0
0 Claude 500,the-last-verdict.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-law-of-the-realm.md,Success,6,0,0,0,0,0,0,0,2
0 Claude 500,the-leviathans-last-hunt.md,Success,9,0,0,0,0,1,0,0,0
0 Claude 500,the-leviathans-wake.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-liberation-of-desire.md,Success,6,0,0,1,0,0,0,0,0
0 Claude 500,the-locked-room-at-whitmore.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-london-papers.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-lost-children-of-clearwater.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,the-luck-of-signal-ridge.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-luminous-road-to-freedom.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,the-luminous-threads-of-aparna.md,Success,12,0,0,0,0,0,0,0,0
0 Claude 500,the-madding-crowd.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-magic-we-choose.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-mandalay-garrison.md,Success,9,0,0,0,0,0,0,0,0
0 Claude 500,the-mansion-on-elm-street.md,Success,4,0,0,0,0,0,0,0,1
0 Claude 500,the-marked-door.md,Success,4,0,0,0,0,0,0,0,3
0 Claude 500,the-marlborough-arms.md,Success,5,0,0,1,0,0,0,0,0
0 Claude 500,the-marriage-surveyors.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,the-maud-marsh-deluge.md,Success,5,1,1,0,0,0,0,0,0
